time,play_by_play,UCLA,USC,quarter,date
10:00,Start game,0,0,1,"February 13, 2025"
9:58,Jump Ball won by USC,0,0,1,"February 13, 2025"
9:58,Jump Ball lost by UCLA,0,0,1,"February 13, 2025"
9:43,JuJu Watkins missed Jumper.,0,0,1,"February 13, 2025"
9:38,Kiki Rice Defensive Rebound.,0,0,1,"February 13, 2025"
9:34,Kiki Rice missed Layup.,0,0,1,"February 13, 2025"
9:34,JuJu Watkins Block.,0,0,1,"February 13, 2025"
9:31,Rayah Marshall Defensive Rebound.,0,0,1,"February 13, 2025"
9:27,Talia von Oelhoffen made Three Point Jumper. Assisted by Kiki Iriafen.,0,3,1,"February 13, 2025"
9:09,Angela Dugalic Turnover.,0,3,1,"February 13, 2025"
8:54,Kennedy Smith missed Three Point Jumper.,0,3,1,"February 13, 2025"
8:49,Lauren Betts Defensive Rebound.,0,3,1,"February 13, 2025"
8:39,Foul on Rayah Marshall.,0,3,1,"February 13, 2025"
8:39,Lauren Betts made Free Throw.,1,3,1,"February 13, 2025"
8:39,Lauren Betts made Free Throw.,2,3,1,"February 13, 2025"
8:16,Rayah Marshall missed Jumper.,2,3,1,"February 13, 2025"
8:12,Angela Dugalic Defensive Rebound.,2,3,1,"February 13, 2025"
8:02,Lauren Betts missed Jumper.,2,3,1,"February 13, 2025"
7:59,JuJu Watkins Defensive Rebound.,2,3,1,"February 13, 2025"
7:51,Rayah Marshall missed Jumper.,2,3,1,"February 13, 2025"
7:47,Londynn Jones Defensive Rebound.,2,3,1,"February 13, 2025"
7:42,Gabriela Jaquez made Layup. Assisted by Londynn Jones.,4,3,1,"February 13, 2025"
7:21,Kennedy Smith Turnover.,4,3,1,"February 13, 2025"
7:21,Subbing out for USC-Rayah Marshall,4,3,1,"February 13, 2025"
7:21,Subbing in for USC-Clarice Akunwafo,4,3,1,"February 13, 2025"
7:06,Gabriela Jaquez missed Jumper.,4,3,1,"February 13, 2025"
7:02,Kiki Iriafen Defensive Rebound.,4,3,1,"February 13, 2025"
6:50,JuJu Watkins made Three Point Jumper.,4,6,1,"February 13, 2025"
6:31,Foul on Kennedy Smith.,4,6,1,"February 13, 2025"
6:31,Kiki Rice made Free Throw.,5,6,1,"February 13, 2025"
6:31,Kiki Rice made Free Throw.,6,6,1,"February 13, 2025"
6:31,Subbing out for UCLA-Angela Dugalic,6,6,1,"February 13, 2025"
6:31,Subbing in for UCLA-Janiah Barker,6,6,1,"February 13, 2025"
6:24,Talia von Oelhoffen Turnover.,6,6,1,"February 13, 2025"
6:10,Subbing out for USC-Kennedy Smith,6,6,1,"February 13, 2025"
6:10,Subbing out for USC-Talia von Oelhoffen,6,6,1,"February 13, 2025"
6:10,Subbing in for USC-Kayleigh Heckel,6,6,1,"February 13, 2025"
6:10,Subbing in for USC-Avery Howell,6,6,1,"February 13, 2025"
5:56,Janiah Barker made Layup. Assisted by Lauren Betts.,8,6,1,"February 13, 2025"
5:47,JuJu Watkins made Jumper.,8,8,1,"February 13, 2025"
5:29,Londynn Jones missed Jumper.,8,8,1,"February 13, 2025"
5:24,Kiki Iriafen Defensive Rebound.,8,8,1,"February 13, 2025"
5:13,JuJu Watkins made Three Point Jumper.,8,11,1,"February 13, 2025"
